Relay URL,Latitude,Longitude
nostr.liberty.fans,36.9104,-89.5875
relay.ru.ac.th,13.7607,100.627
relay.edufeed.org,49.4521,11.0767
nostr.vulpem.com,49.4543,11.0746
relay.lacompagniemaximus.com,45.3147,-73.8785
relay.trotters.cc,43.6532,-79.3832
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
relay.internationalright-wing.org,-22.5022,-48.7114
relay.inforsupports.com,43.6532,-79.3832
public.crostr.com,43.6532,-79.3832
nostrue.com,40.8054,-74.0241
bitcoinostr.duckdns.org,41.1976,1.11167
relay.plebeian.market,50.1109,8.68213
nostr.thalheim.io,60.1699,24.9384
relay-nl.zombi.cloudrodion.com,50.8943,6.06237
ynostr.yael.at,60.1699,24.9384
relay.cosmicbolt.net,37.3986,-121.964
nostr.bond,50.1109,8.68213
relay.staging.plebeian.market,51.5072,-0.127586
nostr.mom,50.4754,12.3683
wot.nostr.party,36.1659,-86.7844
bbw-nostr.xyz,41.5284,-87.4237
relay.jeffg.fyi,43.6532,-79.3832
nostr.notribe.net,40.8302,-74.1299
top.testrelay.top,43.6532,-79.3832
relay.wavefunc.live,41.8781,-87.6298
relay.minibolt.info,43.6532,-79.3832
schnorr.me,43.6532,-79.3832
adre.su,59.9311,30.3609
relay.bitmacro.cloud,43.6532,-79.3832
wot.codingarena.top,50.4754,12.3683
relay.nostr.net,43.6532,-79.3832
nostrride.io,37.3986,-121.964
dm-test-strfry-generic.samt.st,43.6532,-79.3832
relay.orangepill.ovh,49.1689,-0.358841
nostr.myshosholoza.co.za,52.3913,4.66545
eu.nostr.pikachat.org,49.4543,11.0746
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
relay.bao.network,43.6532,-79.3832
nostr.mikoshi.de,50.1109,8.68213
nostr2.thalheim.io,49.4543,11.0746
relay.laantungir.net,-19.4692,-42.5315
aeon.libretechsystems.xyz,55.486,9.86577
relay.wisp.talk,49.4543,11.0746
relay.mmwaves.de,48.8575,2.35138
relay.snotr.nl:49999,52.0195,4.42946
blossom.gnostr.cloud,43.6532,-79.3832
dm-test-nostr-rs-42-disabled.samt.st,43.6532,-79.3832
relay.ohstr.com,43.6532,-79.3832
relay.agora.social,50.7383,15.0648
cache.trustr.ing,43.6548,-79.3885
nostr.bitcoiner.social,47.6743,-117.112
nostr.nodesmap.com,59.3327,18.0656
wot.shaving.kiwi,43.6532,-79.3832
kotukonostr.onrender.com,37.7775,-122.397
purpura.cloud,43.6532,-79.3832
video.czas.plus,50.1109,8.68213
relay.decentnewsroom.com,50.4754,12.3683
relay.toastr.net,40.8054,-74.0241
speakeasy.cellar.social,49.4543,11.0746
ribo.nostria.app,43.6532,-79.3832
relay.notoshi.win,14.0644,101.515
nostr.chaima.info,50.1109,8.68213
slick.mjex.me,39.0418,-77.4744
relay.gulugulu.moe,43.6532,-79.3832
relay.nostriches.club,43.6532,-79.3832
nostr.88mph.life,52.1941,-2.21905
nostrcity-club.fly.dev,37.7648,-122.432
ribo.us.nostria.app,43.6532,-79.3832
bitchat.nostr1.com,40.7057,-74.0136
nostr.debate.report,50.1109,8.68213
nostr-verified.wellorder.net,45.5201,-122.99
relay.nostr-check.me,43.6532,-79.3832
relay.nostrdice.com,-33.8688,151.209
nostr.sathoarder.com,48.5734,7.75211
relay.bikel.ink,60.1699,24.9384
relay.lanavault.space,60.1699,24.9384
relay.sharegap.net,43.6532,-79.3832
strfry.atlantislabs.space,43.6532,-79.3832
relay.fckstate.net,59.3293,18.0686
relay.trustr.ing,43.6548,-79.3885
strfry.shock.network,39.0438,-77.4874
fanfares.nostr1.com,40.7057,-74.0136
chat-relay.zap-work.com,43.6532,-79.3832
relay.vrtmrz.net,43.6532,-79.3832
nostr.chvaja.cz,33.4484,-112.074
nostr.self-determined.de,53.495,10.2542
nostr-01.yakihonne.com,1.32123,103.695
relay.sovbit.dev,60.1699,24.9384
nostr.pbfs.io,50.4754,12.3683
relay.keykeeper.world,40.7824,-74.0711
relay.primal.net,43.6532,-79.3832
nostr-relay.amethyst.name,39.0438,-77.4874
nostr.ps1829.com,33.8851,130.883
yabu.me,35.6092,139.73
temp.iris.to,43.6532,-79.3832
nostr.n7ekb.net,36.1527,-95.9902
purplerelay.com,43.6532,-79.3832
nostr.robosats.org,64.1476,-21.9392
nostr.dlcdevkit.com,40.0992,-83.1141
satsage.xyz,37.3986,-121.964
relay.0xchat.com,43.6532,-79.3832
relay.erybody.com,41.4513,-81.7021
freelay.sovbit.dev,60.1699,24.9384
nostr.stakey.net,52.3676,4.90414
nostrcheck.me,43.6532,-79.3832
nostr-relay.psfoundation.info,39.0438,-77.4874
nostr.quali.chat,60.1699,24.9384
syb.lol,43.6532,-79.3832
bcast.girino.org,43.6532,-79.3832
relay.fountain.fm,43.6532,-79.3832
nostr.easycryptosend.it,43.6532,-79.3832
relay.tapestry.ninja,40.8054,-74.0241
nostr.girino.org,43.6532,-79.3832
nostr.wecsats.io,43.6532,-79.3832
nostr.plantroon.com,50.1013,8.62643
cs-relay.nostrdev.com,50.4754,12.3683
nostr.luisschwab.net,43.6532,-79.3832
relay.endfiat.money,59.3327,18.0656
nostr.tagomago.me,42.3601,-71.0589
relay.satlantis.io,40.8054,-74.0241
nostr-relay.online,43.6532,-79.3832
relay-arg.zombi.cloudrodion.com,1.35208,103.82
relay.fundstr.me,42.3601,-71.0589
relay.veganostr.com,60.1699,24.9384
relay.threenine.services,51.5222,-0.62916
relay.angor.io,48.1046,11.6002
relay.aidatanorge.no,43.6532,-79.3832
espelho.girino.org,43.6532,-79.3832
relay.layer.systems,49.0291,8.35695
relay.satmaxt.xyz,43.6532,-79.3832
relay-testnet.k8s.layer3.news,37.3387,-121.885
relay.arx-ccn.com,50.4754,12.3683
relay.hostr.network,41.2619,-95.8608
ribo.eu.nostria.app,43.6532,-79.3832
nostr.spicyz.io,43.6532,-79.3832
us-east.nostr.pikachat.org,39.0438,-77.4874
dev.relay.edufeed.org,49.4521,11.0767
nexus.libernet.app,43.6532,-79.3832
relay.illuminodes.com,47.6061,-122.333
nostr.data.haus,50.4754,12.3683
nostr-relay.nextblockvending.com,47.2343,-119.853
relay-dev.gulugulu.moe,43.6532,-79.3832
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
nos.lol,50.4754,12.3683
nos4smartnkind.tech,40.2662,44.6393
r.0kb.io,32.789,-96.7989
offchain.pub,39.1585,-94.5728
prl.plus,55.7628,37.5983
relay5.bitransfer.org,43.6532,-79.3832
nostr.nadajnik.org,50.1109,8.68213
nostrja-kari.heguro.com,43.6532,-79.3832
nostrbtc.com,43.6532,-79.3832
dev.relay.stream,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
relayone.soundhsa.com,39.1008,-94.5811
dm-test-strfry-discovery.samt.st,43.6532,-79.3832
rilo.nostria.app,43.6532,-79.3832
openrelay.ziomc.com,50.0755,14.4378
reraw.pbla2fish.cc,43.6532,-79.3832
relay-rpi.edufeed.org,49.4521,11.0767
relay.wellorder.net,45.5201,-122.99
relay.nostriot.com,41.5695,-83.9786
nostr-rs-relay-qj1h.onrender.com,37.7775,-122.397
relay.seq1.net,43.6532,-79.3832
portal-relay.pareto.space,49.0291,8.35696
relay.wavlake.com,41.2619,-95.8608
strfry.openhoofd.nl,51.5717,3.70417
relay.nostrhub.fr,48.1045,11.6004
nostr.spaceshell.xyz,43.6532,-79.3832
nostr.rikmeijer.nl,51.6992,5.30417
relay.zone667.com,60.1699,24.9384
relay.earthly.city,34.1749,-118.54
nostr.bitczat.pl,60.1699,24.9384
relay.islandbitcoin.com,12.8498,77.6545
relay.nostar.org,43.6532,-79.3832
relay.staging.commonshub.brussels,49.4543,11.0746
myvoiceourstory.org,37.3598,-121.981
bendernostur.duckdns.org:8443,50.1109,8.68213
relay.nearhood.co.uk,51.5072,-0.127586
relay.nostrmap.net,60.1699,24.9384
0x-nostr-relay.fly.dev,37.7648,-122.432
nostr.hekster.org,37.3986,-121.964
rele.speyhard.fi,50.1109,8.68213
nostr.oxtr.dev,50.4754,12.3683
nostr-relay.xbytez.io,50.6924,3.20113
relay.flashapp.me,43.6548,-79.3885
relay.mostr.pub,43.6532,-79.3832
relay.artx.market,43.6548,-79.3885
nostr.rtvslawenia.com,49.4543,11.0746
relay.directsponsor.net,42.8864,-78.8784
bitcoiner.social,47.6743,-117.112
relay.damus.io,43.6532,-79.3832
nostr.tac.lol,47.4748,-122.273
relay.binaryrobot.com,43.6532,-79.3832
relay2.veganostr.com,60.1699,24.9384
offchain.bostr.online,43.6532,-79.3832
relay.openresist.com,43.6532,-79.3832
relay.lanacoin-eternity.com,40.8302,-74.1299
nostr.4rs.nl,49.0291,8.35696
nittom.nostr1.com,40.7057,-74.0136
nostr.21crypto.ch,47.5356,8.73209
wot.nostr.place,43.6532,-79.3832
nostr.azzamo.net,52.2633,21.0283
dev-relay.nostreon.com,60.1699,24.9384
relay.camelus.app,45.5201,-122.99
relay.beginningend.com,35.2227,-97.4786
relay.cypherflow.ai,48.8575,2.35138
test.thedude.cloud,50.1109,8.68213
armada.sharegap.net,43.6532,-79.3832
relay.agentry.com,42.8864,-78.8784
relay1.privkey.io,25.7617,-80.1918
bucket.coracle.social,37.7775,-122.397
nostr.red5d.dev,43.6532,-79.3832
relay.lab.rytswd.com,49.4543,11.0746
relay.sigit.io,50.4754,12.3683
ephemeral.snowflare.cc,43.6532,-79.3832
nostrelay.circum.space,52.3676,4.90414
vault.iris.to,43.6532,-79.3832
articles.layer3.news,37.3387,-121.885
relay.mitchelltribe.com,39.0438,-77.4874
nostr.carroarmato0.be,51.0368,3.21186
relay.ngengine.org,43.6532,-79.3832
nostr.2b9t.xyz,34.0549,-118.243
relay.bornheimer.app,51.5072,-0.127586
relay.dyne.org,49.0291,8.35705
nostr-pub.wellorder.net,45.5201,-122.99
relay.bebond.net,43.6532,-79.3832
relay.opmaat.org,60.1699,24.9384
relay.degmods.com,50.4754,12.3683
nrs-02.darkcloudarcade.com,39.9526,-75.1652
relay.samt.st,40.8302,-74.1299
relay.lightning.pub,39.0438,-77.4874
relay.shadowbip.com,50.1109,8.68213
kasztanowa.bieda.it,43.6532,-79.3832
x.kojira.io,43.6532,-79.3832
nostr.overmind.lol,43.6532,-79.3832
relay.qstr.app,50.1109,8.68213
relay02.lnfi.network,35.6764,139.65
nrs-01.darkcloudarcade.com,39.1008,-94.5811
relay.dreamith.to,43.6532,-79.3832
dev-nostr.bityacht.io,43.6532,-79.3832
relay.olas.app,60.1699,24.9384
